studio_number,room_grade_name,floor,status,is active,allocation
PUH-1006,Silver,1,vacant,TRUE,Keyworker
PUH-1023,Silver,1,vacant,TRUE,Keyworker
PUH-2073,Silver,2,vacant,TRUE,Keyworker
PUH-2081,Silver,2,vacant,TRUE,Keyworker
PUH-3047,Silver,3,vacant,TRUE,Keyworker
PUH-3054,Silver,3,vacant,TRUE,Keyworker
PUH-010,Silver,G,vacant,TRUE,Keyworker
PUH-024,Silver,G,vacant,TRUE,Keyworker
PUH-1007,Silver,1,vacant,TRUE,Keyworker
PUH-1013,Silver,1,vacant,TRUE,Keyworker
PUH-1015,Silver,1,vacant,TRUE,Keyworker
PUH-1044,Silver,1,vacant,TRUE,Keyworker
PUH-1065,Silver,1,vacant,TRUE,Keyworker
PUH-1070,Silver,1,vacant,TRUE,Keyworker
PUH-1072,Silver,1,vacant,TRUE,Keyworker
PUH-1073,Silver,1,vacant,TRUE,Keyworker
PUH-1074,Silver,1,vacant,TRUE,Keyworker
PUH-1076,Silver,1,vacant,TRUE,Keyworker
PUH-1077,Silver,1,vacant,TRUE,Keyworker
PUH-1078,Silver,1,vacant,TRUE,Keyworker
PUH-1079,Silver,1,vacant,TRUE,Keyworker
PUH-1080,Silver,1,vacant,TRUE,short term
PUH-1081,Silver,1,vacant,TRUE,short term
PUH-1082,Silver,1,vacant,TRUE,short term
PUH-2007,Silver,2,vacant,TRUE,short term
PUH-2010,Silver,2,vacant,TRUE,short term
PUH-2037,Silver,2,vacant,TRUE,short term
PUH-2074,Silver,2,vacant,TRUE,short term
PUH-2080,Silver,2,vacant,TRUE,short term
PHU-012,Silver,G,vacant,TRUE,short term
PUH-1001,Silver,1,vacant,TRUE,short term
PUH-1002,Silver,1,vacant,TRUE,short term
PUH-1003,Silver,1,vacant,TRUE,short term
PUH-1004,Silver,1,vacant,TRUE,short term
PUH-1005,Silver,1,vacant,TRUE,short term
PUH-1008,Silver,1,vacant,TRUE,short term
PUH-1009,Silver,1,vacant,TRUE,short term
PUH-1010,Silver,1,vacant,TRUE,short term
PUH-1014,Silver,1,vacant,TRUE,short term
PUH-1016,Silver,1,vacant,TRUE,short term
PUH-1017,Silver,1,vacant,TRUE,short term
PUH-1018,Silver,1,vacant,TRUE,short term
PUH-1019,Silver,1,vacant,TRUE,short term
PUH-1020,Silver,1,vacant,TRUE,short term
PUH-1022,Silver,1,vacant,TRUE,short term
PUH-1024,Silver,1,vacant,TRUE,short term
PUH-1025,Silver,1,vacant,TRUE,short term
PUH-1026,Silver,1,vacant,TRUE,short term
PUH-1028,Silver,1,vacant,TRUE,short term
PUH-1029,Silver,1,vacant,TRUE,short term
PUH-1032,Silver,1,vacant,TRUE,student
PUH-1033,Silver,1,vacant,TRUE,student
PUH-1034,Silver,1,vacant,TRUE,student
PUH-1036,Silver,1,vacant,TRUE,student
PUH-1037,Silver,1,vacant,TRUE,student
PUH-1038,Silver,1,vacant,TRUE,student
PUH-1039,Silver,1,vacant,TRUE,student
PUH-1040,Silver,1,vacant,TRUE,student
PUH-1041,Silver,1,vacant,TRUE,student
PUH-1042,Silver,1,vacant,TRUE,student
PUH-1043,Silver,1,vacant,TRUE,student
PUH-1045,Silver,1,vacant,TRUE,student
PUH-1047,Silver,1,vacant,TRUE,student
PUH-1048,Silver,1,vacant,TRUE,student
PUH-1049,Silver,1,vacant,TRUE,student
PUH-1050,Silver,1,vacant,TRUE,student
PUH-1051,Silver,1,vacant,TRUE,student
PUH-1052,Silver,1,vacant,TRUE,student
PUH-1053,Silver,1,vacant,TRUE,student
PUH-1054,Silver,1,vacant,TRUE,student
PUH-1055,Silver,1,vacant,TRUE,student
PUH-1057,Silver,1,vacant,TRUE,student
PUH-1058,Silver,1,vacant,TRUE,student
PUH-1059,Silver,1,vacant,TRUE,student
PUH-1068,Silver,1,vacant,TRUE,student
PUH-1071,Silver,1,vacant,TRUE,student
PUH-1083,Silver,1,vacant,TRUE,student
PUH-1084,Silver,1,vacant,TRUE,student
PUH-1086,Silver,1,vacant,TRUE,student
PUH-1087,Silver,1,vacant,TRUE,student
PUH-1089,Silver,1,vacant,TRUE,student
PUH-1090,Silver,1,vacant,TRUE,student
PUH-1091,Silver,1,vacant,TRUE,student
PUH-1092,Silver,1,vacant,TRUE,student
PUH-1093,Silver,1,vacant,TRUE,student
PUH-1094,Silver,1,vacant,TRUE,student
PUH-1095,Silver,1,vacant,TRUE,student
PUH-1098,Silver,1,vacant,TRUE,student
PUH-1099,Silver,1,vacant,TRUE,student
PUH-1100,Silver,1,vacant,TRUE,student
PUH-2001,Silver,2,vacant,TRUE,student
PUH-2002,Silver,2,vacant,TRUE,student
PUH-2003,Silver,2,vacant,TRUE,student
